Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Grams,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Age,Pieces,Rating,Rating Count
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/286cbd8f61840bbbfad25ca5cd5a21f8.jpg,3,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/560140f32dd7212910f7254929ae90aa.jpg,4,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/ed2b90e54578b8fa2c31d98b7f587a93.jpg,5,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/6e57859e616126cc9cde10a22d1fc199.jpg,6,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/ac96ff5e836e41ec1d1a8885eef4e879.jpg,7,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/1f1c955d46da4ae9337166ce0d8d4dc8.jpg,8,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)","Ferrari F1® toy vehicle for kids – Boys and girls aged 10 and up and Ferrari fans can build, display and race the LEGO® Speed Champions Ferrari SF-24 F1 Race Car and driver set 1 minifigure – This vehicle set includes a driver minifigure wearing a special Ferrari outfit and a winged helmet for kids to place inside the cockpit and role-play thrilling race action Authentic Ferrari details – F1® race car with design details from the real-life 2024 version, including a rear wing, a halo bar, sponsor stickers and wider rear tires imprinted with “Pirelli” F1® fun for all the family – Race for the checkered flag alongside the whole family with other building sets (sold separately) in the LEGO® F1 range F1® race car toy display model – After kids have enjoyed playing out racing stories with the Ferrari F1 toy, they can display it on a shelf or bedside table F1® gift idea – This premium Ferrari F1 merchandise provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors F1® race car toy display model – After kids have enjoyed playing out racing stories with the Ferrari F1 toy, they can display it on a shelf or bedside table F1® gift idea – This premium Ferrari F1 merchandise provides a fun build-and-play experience and is a great LEGO® gift idea for kids aged 10 and up and adult car-model collectors Build iconic car models – LEGO® Speed Champions sets let kids and car lovers create brick-built versions of some of the world’s most famous vehicles Measurements – A 275-piece vehicle kit featuring a Ferrari SF-24 F1® toy car that measures over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,"New, Speed Champions, Building Toys, Ages 10+, Speed Champions, Outgoing",TRUE,Title,Default Title,77242,5702017816098,shopify,0,deny,manual,279,1999.00,,TRUE,TRUE,https://ph-live.slatic.net/p/634597b171ab1fb6d3ff912a937fde1c.jpg,1,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",active,10+,275,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/a3918ef44b22cc1717e72c8e0c34d22f.jpg,2,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/e5241c4e9db2a1df98b572f5cbdaab36.jpg,3,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/f9752895198a28922c8af38c2a1c3e95.jpg,4,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/23f8884cc2cbf6f3971f206a6f633e7e.jpg,5,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/86c45f1688ea995bb63b822382e72e69.jpg,6,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/4a8ec3fe032cf6d5eed55a29acb16d98.jpg,7,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/641dd3deab5a7df5d48ee78d9703e3a5.jpg,8,"LEGO Speed Champions 77242 Ferrari SF-24 F1 Race Car, Age 10+, Building Blocks, 2025 (275pcs)",,,,,
