"handle","status","product_id","error"
"lego-76316-lego-super-heroes-marvel-76316-galactus-vs-the-fantastic-four-age-9-building-blocks-2025-427pcs","created","10829320487224",""
"lego-76320-lego-super-heroes-marvel-76320-iron-man-and-war-machine-vs-hammer-drones-age-7-building-blocks-2025-204pcs","created","10829320618296",""
"lego-76338-lego-super-heroes-marvel-76338-mech-battle-spider-man-vs-doc-ock-315-pieces-building-blocks","created","10829320651064",""
"lego-43257-lego-disney-classic-43257-angel-age-9-building-blocks-2025-784pcs","created","10829320782136",""
"lego-60445-lego-city-60445-f1-truck-with-rb20-and-amr24-f1-cars-age-8-building-blocks-2025-1086pcs","created","10829320814904",""
"lego-10471-lego-duplo-10471-blue-police-motorcycle-11-pieces-building-blocks","created","10829320880440",""
"lego-76344-lego-super-heroes-marvel-76344-iron-man-mark-3-collectors-edition-1297-pieces-building-blocks","created","10829321175352",""
"lego-60502-lego-city-60502-airport-with-airplane-887-pieces-building-blocks","created","10829321797944",""
"lego-31382-lego-creator-3-in-1-31382-cute-animals-playful-puppy-dog-336-pieces-building-blocks","created","10829322322232",""
"lego-60485-lego-city-60485-hot-rod-81-pieces-building-blocks","created","10829322944824",""
"lego-40460-lego-botanicals-40460-roses-120-pieces-building-blocks","created","10829323501880",""
"lego-40524-lego-botanicals-40524-sunflower-191-pieces-building-blocks","created","10829324124472",""
"lego-21275-lego-minecraft-21275-the-tnt-jungle-house-age-8-building-blocks-2025-287pcs","created","10829324583224",""
"lego-60404-lego-city-60404-burger-truck-age-5-building-blocks-2023-194pcs","created","10829325074744",""
"lego-76326-lego-super-heroes-marvel-76326-iron-spider-man-bust-age-18-building-blocks-2025-379pcs","created","10829325435192",""
"lego-42679-lego-friends-42679-heartlake-city-bunny-hotel-161-pieces-building-blocks","created","10829325500728",""
"lego-42678-lego-friends-42678-pet-accessories-van-237-pieces-building-blocks","created","10829325697336",""
"lego-60491-lego-city-60491-motorcycle-transporter-88-pieces-building-blocks","created","10829325730104",""
"lego-75444-lego-star-wars-75444-at-rt-attack-297-pieces-building-blocks","created","10829326057784",""
"lego-75414-lego-star-wars-75414-the-force-burner-snowspeeder-age-7-building-blocks-2025-349pcs","created","10829326090552",""
"lego-71849-lego-ninjago-71849-nya-vs-mutation-monster-spinner-49-pieces-building-blocks","created","10829326156088",""
"lego-71850-lego-ninjago-71850-lloyd-vs-earth-monster-spinner-52-pieces-building-blocks","created","10829326221624",""
"lego-71854-lego-ninjago-71854-cole-s-mission-mech-and-dragon-zane-364-pieces-building-blocks","created","10829326254392",""
"lego-43285-lego-disney-princess-43285-ariel-s-magical-mini-palace-179-pieces-building-blocks","created","10829326319928",""
"lego-42680-lego-friends-42680-heartlake-city-convenience-store-176-pieces-building-blocks","created","10829326385464",""
"lego-60490-lego-city-60490-snowplow-263-pieces-building-blocks","created","10829326582072",""
"lego-72046-lego-super-mario-72046-game-boy-age-18-building-blocks-2025-421pcs","created","10829326647608",""
"lego-11510-lego-botanicals-11510-magnolia-branches-435-pieces-building-blocks","created","10829326745912",""
"lego-76307-lego-super-heroes-marvel-76307-iron-man-mech-vs-ultron-age-6-building-blocks-2025-101pcs","created","10829327008056",""
"lego-60465-lego-city-60465-emergency-air-ambulance-airplane-age-6-building-blocks-2025-395pcs","created","10829327892792",""
"lego-31164-lego-creator-3-in-1-31164-space-robot-age-8-building-blocks-2025-281pcs","created","10829328482616",""
"lego-10468-lego-duplo-10468-tractor-and-market-18-pieces-building-blocks","created","10829329301816",""
"lego-42228-lego-technic-42228-mclaren-mcl39-formula-1-car-1675-pieces-building-blocks","created","10829329858872",""
"lego-43305-lego-disney-classic-43305-piglet-s-birthday-fun-544-pieces-building-blocks","created","10829330547000",""
"lego-42658-lego-friends-42658-unicorn-and-flamingo-pool-party-age-5-building-blocks-2025-99pcs","created","10829331398968",""
